ID,Nombre,Dirección,Ciudad,País,Teléfono,Horario,Instagram,Tipo,Estado
1,"Rabito Feliz","Victor Troncoso Muñoz 142","Buin","CL","+56 9 9101 0837","Lun-Vie: 10-21 | Sáb-Dom: 10-20","https://www.instagram.com/veterinariarabitofeliz","physical","active"
2,"El Raco Pet (Online)",,"Buin","CL","+56 9 7482 6988","Lun-Sáb: 9-20 | Dom: 9-20","https://www.instagram.com/elracopet","online","active"
3,"SPVet Buin","Arturo Prat 705, Buin","Buin","CL","+56 9 5766 6227","Lun-Vie: 9-19 | Sáb: 9-14","https://www.instagram.com/spvetbuin","physical","active"
4,"Pet Shop Lover","La Primavera 1231, Cerrillos","Cerrillos","CL","+56 9 6819 3688","Lun-Sáb: 10:30-19:30","https://www.instagram.com/petshoplovers.CL","physical","active"
5,"Magrey Petstore (Online)","Colina, Región Metropolitana, Chile","Colina","CL","Ver Instagram","Online","https://www.instagram.com/magrey_petstore","online","active"
6,"Tecno Jardín","Caletera Ote. Gral San Martin 12800","Colina","CL","+56 9 8158 4883","Consultar","https://www.instagram.com/tecno.jardin","physical","active"
7,"Mascotas Dor","Av. Chicureo 1920 M4","Chicureo","CL","+56 9 9799 4883","Consultar","https://www.instagram.com/mascotasdor","physical","active"
8,"Dulanto","Solo Despacho y WhatsApp","Chicureo","CL","+56 9 9333 0289","Consultar",,"online","active"
9,"Petstore CL","Caletera Los Libertadores 22909, T6","Colina","CL","+56 9 4020 1376",,"https://www.instagram.com/petstore_chile","physical","active"
10,"Petvilles (Online)","Huechuraba, Región Metropolitana, Chile","Huechuraba","CL","+56 9 6716 1744","Online","https://www.instagram.com/petvillespg","online","active"
11,"Alimentos San Ignacio","Av. El Parrón 0420, La Cisterna","La Cisterna","CL","+56 9 4947 3216","Lun-Vie: 10-18 | Sáb: 10-16:30","https://www.instagram.com/sanignaciopetshop","physical","active"
12,"Milla Pets","La Blanca 0135, La Cisterna","La Cisterna","CL","+56 9 5860 1638","Lun-Vie: 9-19 | Sáb: 9-17","https://www.instagram.com/millapets.spa","physical","active"
13,"RazasPet (Las Condes)","Av. Cristóbal Colón 4191","Las Condes","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20","https://www.instagram.com/razaspet.CL","physical","active"
14,"Pet Vet","Avda. Pdte. Sebastián Piñera E. 343","Las Condes","CL","+56 9 8728 1807","Lun-Jue: 8:30-18:00 | Vie: 8:30-17","https://www.instagram.com/petvet.CL","physical","active"
15,"Laika (Online)","Las Condes, Región Metropolitana, Chile","Las Condes","CL","Online","24/7 Web","https://www.instagram.com/laikamascotas_chile","online","active"
16,"La Guarida Pet","Av. La Florida 8220, Local 21","La Florida","CL","+56 9 2031 6941","Lun-Dom: 10:30-20:30","https://www.instagram.com/laguaridapet.CL","physical","active"
17,"Walker Pets (Sucursal 1)","Walker Martínez 1195","La Florida","CL","+56 9 2393 9391","Lun-Sáb: 11-21 | Dom: 11-20","https://www.instagram.com/walkerpets_chile","physical","active"
18,"Walker Pets (Sucursal 2)","Av. La Florida 7623","La Florida","CL","+56 9 2393 9391","Lun-Sáb: 11-21 | Dom: 11-20",,"physical","active"
19,"Kamay Pet","Lo Cañas 3517, local 5","La Florida","CL","+56 9 6640 5892","Consultar","https://www.instagram.com/kamaypet","physical","active"
20,"Pet Kingdom Marilú","Cam. San Francisco de Asis 155","Lo Barnechea","CL","+56 9 6855 1068","Lun-Jue: 9:30-18:30","https://www.instagram.com/petkingdom.CL","physical","active"
21,"Maskotips","Comuna 5273, Lo Prado","Lo Prado","CL","+56 9 4926 6783","Lun-Dom: 10:00-20:00","https://www.instagram.com/maskotips_chile","physical","active"
22,"Locura Animal","Del Rey 1806, Maipu","Maipú","CL","+56 9 6334 8693","Lunes a Viernes: 15:30 a 20:00 Sábado: 12:30 a 16:00","https://www.instagram.com/locuranimalchile?igsh=MTRhbjFhODU3bjJrYg==","physical","active"
23,"RazasPet (Ñuñoa)","Irarrázaval 2600","Ñuñoa","CL","+56 9 5447 8959","Lun-Vie: 10-20 | Sáb: 10:30-20","https://www.instagram.com/razaspet.CL","physical","active"
24,"Delivet","Tobalaba 1781 (Providencia/Ñuñoa)","Ñuñoa","CL","+56 9 9495 7605","Lun-Vie: 9-19 | Sáb: 9-18",,"physical","active"
25,"Pet Bronx","Primera Transversal #731","Padre Hurtado","CL","+56 9 5710 4471","Lun-Sáb: 09-19 | Dom: 10:30-19","https://www.instagram.com/pet_bronx","physical","active"
26,"Como Como Animal","Peñaflor (Sucursal 2)","Peñaflor","CL","+56 9 2882 5231","Lun-Jue: 8:30-18 | Vie-Sáb: 8:30-17","https://www.instagram.com/comocomoanimal","physical","active"
27,"La Granja Pet","Antupiren 8340 Local 7","Peñalolén","CL","+56 9 6225 9834","Lun-Sáb: 10-20 | Dom: 10-19","https://www.instagram.com/lagranjapets","physical","active"
